"Segreteria";"Delegazione";"Provincia";"Comune";"Pop istat";"Attivi";"Non attivi";"Donatori"
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"BARETE";695;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"BARISCIANO";1831;0;2;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAGNANO AMITERNO";1411;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CALASCIO";150;1;1;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAMPO DI GIOVE";872;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAMPOTOSTO";682;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CANSANO";279;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAPESTRANO";974;1;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAPITIGNANO";676;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CAPORCIANO";237;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CARAPELLE CALVISIO";95;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CASTEL DEL MONTE";490;1;0;1
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"CASTELVECCHIO CALVISIO";190;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"COLLEPIETRO";239;2;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"FOSSA";703;0;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"L AQUILA";72696;111;95;5
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"LUCOLI";999;2;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"MONTEREALE";2794;1;0;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"NAVELLI";592;0;1;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"OCRE";1084;19;16;0
"DIREZIONE REGIONALE FAI ABRUZZO";"DELEGAZIONE FAI DE L'AQUILA";"AQ";"OFENA";578;5;1;0
